FlightId;ArrAirportCode;ArrScheduledDate;ArrScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DpStatusDescription;StatusCode;StatusDescription
LH1185;FRA;2023-05-19;10:35;2023-05-19;10:55;1;Area A;LD;Flight Landed;LH;1185;319;2023-05-19;09:40;;;DP;Flight Departed;LD;Flight Landed
2A3405;FRA;2023-05-19;10:35;2023-05-19;10:41;TN;;LD;Flight Landed;2A;3405;TRN;2023-05-19;09:24;;T05;DP;Flight Departed;LD;Flight Landed
4Y1211;FRA;2023-05-19;10:45;2023-05-19;11:16;1;B10;LD;Flight Landed;4Y;1211;32A;2023-05-19;09:43;;009;DP;Flight Departed;LD;Flight Landed
LH507;FRA;2023-05-19;10:45;2023-05-19;10:45;1;Z62A;LD;Flight Landed;LH;507;74H;2023-05-18;18:27;3;321;DP;Flight Departed;LD;Flight Landed
YY3755;FRA;2023-05-19;10:45;;;1;T06;NO;No Status;YY;3755;BUS;;;;BUS;NO;No Status;;No Status
LH1027;FRA;2023-05-19;10:50;2023-05-19;10:55;1;A40;LD;Flight Landed;LH;1027;320;2023-05-19;09:36;1;068;DP;Flight Departed;LD;Flight Landed
2A3609;FRA;2023-05-19;10:50;2023-05-19;10:49;TN;T04;LD;Flight Landed;2A;3609;TRN;2023-05-19;09:57;;T06;DP;Flight Departed;LD;Flight Landed
2A3645;FRA;2023-05-19;10:50;2023-05-19;10:49;TN;;LD;Flight Landed;2A;3645;TRN;2023-05-19;08:05;;T09;DP;Flight Departed;LD;Flight Landed
LH181;FRA;2023-05-19;10:55;2023-05-19;11:05;1;Area A;LD;Flight Landed;LH;181;32M;2023-05-19;09:45;1;B03;DP;Flight Departed;LD;Flight Landed
LH493;FRA;2023-05-19;10:55;2023-05-19;11:32;1;B22;LD;Flight Landed;LH;493;744;2023-05-18;16:32;M;D55;DP;Flight Departed;LD;Flight Landed
LH511;FRA;2023-05-19;11:00;2023-05-19;10:46;1;B28A;LD;Flight Landed;LH;511;74H;2023-05-18;16:39;A;009;DP;Flight Departed;LD;Flight Landed
LH1123;FRA;2023-05-19;11:00;2023-05-19;11:07;1;A28;LD;Flight Landed;LH;1123;32A;2023-05-19;08:26;2;E74;DP;Flight Departed;LD;Flight Landed
LH925;FRA;2023-05-19;11:05;2023-05-19;11:17;1;Area A;LD;Flight Landed;LH;925;32N;2023-05-19;08:33;2;A26;DP;Flight Departed;LD;Flight Landed
LH987;FRA;2023-05-19;11:05;2023-05-19;12:26;1;A21;LD;Flight Landed;LH;987;32M;2023-05-19;11:18;;B17;DP;Flight Departed;LD;Flight Landed
2A3407;FRA;2023-05-19;11:06;2023-05-19;11:40;TN;T04;LD;Flight Landed;2A;3407;TRN;2023-05-19;09:55;;T09;DP;Flight Departed;LD;Flight Landed
4Y069;FRA;2023-05-19;11:10;2023-05-19;12:47;1;C15A;LD;Flight Landed;4Y;69;333;2023-05-18;21:31;C;245;DP;Flight Departed;LD;Flight Landed
LH013;FRA;2023-05-19;11:10;2023-05-19;11:10;1;A26;LD;Flight Landed;LH;13;321;2023-05-19;09:56;2;A17;DP;Flight Departed;LD;Flight Landed
