AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
ZMB;HAM;DE;Rail Station;Hamburg Hbf Rail Station;+01:00;Europe/Berlin;53.5531;10.0067;Europe
ZMU;MUC;DE;Rail Station;Munich Hbf Rail Station;+01:00;Europe/Berlin;48.1411;11.5544;Europe
ZNS;ZNS;DE;Bus Station;Kempten;+01:00;Europe/Berlin;47.7119;10.3181;Europe
ZPE;ZPE;DE;Rail Station;Muenster/Osnabrueck Rail Station Osnabr;+01:00;Europe/Berlin;52.2728;8.0606;Europe
ZRB;FRA;DE;Rail Station;Frankfurt Hbf Rail Station;+01:00;Europe/Berlin;50.1067;8.6631;Europe
ZRH;ZRH;CH;Airport;Zurich;+01:00;Europe/Zurich;47.4647;8.5492;Europe
ZSB;SZG;AT;Rail Station;Salzburg Railway Station;+01:00;Europe/Vienna;47.8131;13.0458;Europe
ZTH;ZTH;GR;Airport;Zakinthos;+02:00;Europe/Athens;37.7508;20.8842;Europe
ZVR;HAJ;DE;Rail Station;Hannover Hbf Rail Station;+01:00;Europe/Berlin;52.3772;9.7419;Europe
ZWS;STR;DE;Rail Station;Stuttgart Rail Station;+01:00;Europe/Berlin;48.7836;9.1814;Europe
