FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
LH1120;FRA;2023-05-19;20:50;2023-05-19;20:54;1;A34;DP;Flight Departed;LH;1120;320;2023-05-19;23:14;2;;LD;Flight Landed;LD;Flight Landed
2L1077;FRA;2023-05-19;20:50;2023-05-19;21:03;1;A32;DP;Flight Departed;2L;1077;E90;2023-05-19;22:00;;;LD;Flight Landed;LD;Flight Landed
2A3428;FRA;2023-05-19;20:51;2023-05-19;20:55;Station;T05;DP;Flight Departed;2A;3428;TRN;2023-05-19;22:08;;;LD;Flight Landed;LD;Flight Landed
4Y132;FRA;2023-05-19;21:00;2023-05-19;21:03;1;C13;DP;Flight Departed;4Y;132;333;2023-05-20;07:05;;;LD;Flight Landed;LD;Flight Landed
CL376;FRA;2023-05-19;21:00;2023-05-19;20:59;1;A03;DP;Flight Departed;CL;376;CR9;2023-05-19;21:42;;;LD;Flight Landed;LD;Flight Landed
LH732;FRA;2023-05-19;21:00;2023-05-19;21:12;1;Z69;DP;Flight Departed;LH;732;744;2023-05-20;15:20;2;D75;LD;Flight Landed;LD;Flight Landed
LH1180;FRA;2023-05-19;21:00;2023-05-19;21:11;1;A52;DP;Flight Departed;LH;1180;32N;2023-05-19;22:46;;;LD;Flight Landed;LD;Flight Landed
LX1087;FRA;2023-05-19;21:00;2023-05-19;20:58;1;A05;DP;Flight Departed;LX;1087;223;2023-05-19;22:10;1;;LD;Flight Landed;LD;Flight Landed
2A3630;FRA;2023-05-19;21:07;2023-05-19;21:11;Station;T06;DP;Flight Departed;2A;3630;TRN;2023-05-19;22:07;;;LD;Flight Landed;LD;Flight Landed
2A3668;FRA;2023-05-19;21:07;2023-05-19;21:11;Station;T06;DP;Flight Departed;2A;3668;TRN;2023-05-20;00:02;;;LD;Flight Landed;LD;Flight Landed
EN8056;FRA;2023-05-19;21:10;2023-05-19;22:02;1;B02;DP;Flight Departed;EN;8056;E95;2023-05-19;23:08;;;LD;Flight Landed;LD;Flight Landed
EN8830;FRA;2023-05-19;21:10;2023-05-19;21:42;1;B06;DP;Flight Departed;EN;8830;E95;2023-05-19;23:01;;;LD;Flight Landed;LD;Flight Landed
LH332;FRA;2023-05-19;21:10;2023-05-19;21:25;1;B15;DP;Flight Departed;LH;332;32Q;2023-05-19;22:43;;;LD;Flight Landed;LD;Flight Landed
LH692;FRA;2023-05-19;21:10;2023-05-19;21:29;1;B27;DP;Flight Departed;LH;692;32Q;2023-05-20;02:32;;220;LD;Flight Landed;LD;Flight Landed
LH982;FRA;2023-05-19;21:10;2023-05-19;21:16;1;B56;DP;Flight Departed;LH;982;32A;2023-05-19;22:03;1;;LD;Flight Landed;LD;Flight Landed
