FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH1540;FRA;2023-05-18;11:40;2023-05-18;12:06;1;B31;DP;Flight Departed;SKP;2023-05-18;14:05;2023-05-18;14:10;;;LD;Flight Landed;LH;1540;319;LD;Flight Landed
LH182;FRA;2023-05-18;11:45;2023-05-18;12:08;1;A26;DP;Flight Departed;BER;2023-05-18;12:55;2023-05-18;13:12;1;B17;LD;Flight Landed;LH;182;321;LD;Flight Landed
LH954;FRA;2023-05-18;11:45;2023-05-18;11:52;1;B32;DP;Flight Departed;BHX;2023-05-18;12:20;2023-05-18;12:19;;;LD;Flight Landed;LH;954;32A;LD;Flight Landed
2A3434;FRA;2023-05-18;11:51;2023-05-18;11:51;Station;T05;DP;Flight Departed;MHJ;2023-05-18;12:23;2023-05-18;12:32;;;LD;Flight Landed;2A;3434;TRN;LD;Flight Landed
LH1424;FRA;2023-05-18;11:55;2023-05-18;12:07;;Z18;DP;Flight Departed;TIA;2023-05-18;13:55;2023-05-18;14:17;;;LD;Flight Landed;LH;1424;321;LD;Flight Landed
LH014;FRA;2023-05-18;12:00;2023-05-18;12:41;1;A17;DP;Flight Departed;HAM;2023-05-18;13:10;2023-05-18;13:39;2;;LD;Flight Landed;LH;014;321;LD;Flight Landed
LH234;FRA;2023-05-18;12:00;2023-05-18;12:23;1;A16;DP;Flight Departed;FCO;2023-05-18;13:50;2023-05-18;14:11;1;;LD;Flight Landed;LH;234;32M;LD;Flight Landed
LH906;FRA;2023-05-18;12:00;2023-05-18;12:15;1;B27;DP;Flight Departed;LHR;2023-05-18;12:40;2023-05-18;12:37;2;;LD;Flight Landed;LH;906;32N;LD;Flight Landed
4Y306;FRA;2023-05-18;12:05;2023-05-18;12:41;1;B03;DP;Flight Departed;TFS;2023-05-18;16:00;2023-05-18;15:47;;;LD;Flight Landed;4Y;306;32A;LD;Flight Landed
LH1348;FRA;2023-05-18;12:05;2023-05-18;12:36;1;A24;DP;Flight Departed;WAW;2023-05-18;13:40;2023-05-18;14:07;;;LD;Flight Landed;LH;1348;32M;LD;Flight Landed
2A3612;FRA;2023-05-18;12:07;2023-05-18;12:10;Station;T06;DP;Flight Departed;QKL;2023-05-18;13:04;2023-05-18;13:02;;;LD;Flight Landed;2A;3612;TRN;LD;Flight Landed
2A3650;FRA;2023-05-18;12:07;2023-05-18;12:10;Station;T06;DP;Flight Departed;MKF;2023-05-18;14:55;2023-05-18;15:04;;;LD;Flight Landed;2A;3650;TRN;LD;Flight Landed
2A3552;FRA;2023-05-18;12:09;2023-05-18;12:09;Station;T05;DP;Flight Departed;ZWS;2023-05-18;13:20;2023-05-18;13:25;;;LD;Flight Landed;2A;3552;TRN;LD;Flight Landed
