,AirportCode,CityCode,CountryCode,LocationType,Names,UtcOffset,TimeZoneId,Latitude,Longitude
963,QRO,QRO,MX,Airport,Queretaro,-06:00,America/Mexico_City,20.6172,-100.1856
964,QUL,QUL,DE,Rail Station,Ulm Rail Station,+01:00,Europe/Berlin,48.3997,9.9833
965,QWU,QWU,DE,Rail Station,Wuerzburg Rail Station,+01:00,Europe/Berlin,49.7886,9.9364
966,RAK,RAK,MA,Airport,Marrakech,+01:00,Africa/Casablanca,31.6069,-8.0364
967,RAO,RAO,BR,Airport,Ribeirao Preto,-03:00,America/Araguaina,-21.1342,-47.7742
968,RAP,RAP,US,Airport,Rapid City Regional,-07:00,America/Denver,44.0431,-103.0569
969,RBA,RBA,MA,Airport,Rabat,+01:00,Africa/Casablanca,34.0514,-6.7514
970,RCB,RCB,ZA,Airport,Richards Bay,+02:00,Africa/Johannesburg,-28.7411,32.0922
971,RCH,RCH,CO,Airport,Riohacha Aimirante Padilla,-05:00,America/Bogota,11.5261,-72.9258
972,RDD,RDD,US,Airport,Redding,-08:00,America/Los_Angeles,40.5089,-122.2933
973,RDM,RDM,US,Airport,Redmond,-08:00,America/Los_Angeles,44.2542,-121.15
974,RDU,RDU,US,Airport,Raleigh/Durham,-05:00,America/New_York,35.8778,-78.7875
975,REC,REC,BR,Airport,Recife,-03:00,America/Araguaina,-8.1267,-34.9231
976,REL,REL,AR,Airport,Trelew,-03:00,America/Argentina/Buenos_Aires,-43.2106,-65.2703
977,REP,REP,KH,Airport,Siem Reap,+07:00,Asia/Phnom_Penh,13.4106,103.8128
978,RES,RES,AR,Airport,Resistencia,-03:00,America/Argentina/Buenos_Aires,-27.45,-59.0561
979,RGL,RGL,AR,Airport,Rio Gallegos,-03:00,America/Argentina/Buenos_Aires,-51.6089,-69.3128
980,RGN,RGN,MM,Airport,Yangon,+06:30,Asia/Yangon,16.9072,96.1333
981,RHO,RHO,GR,Airport,Rhodes,+02:00,Europe/Athens,36.4056,28.0861
982,RIC,RIC,US,Airport,Richmond,-05:00,America/New_York,37.5053,-77.3197
983,RIS,RIS,JP,Airport,Rishiri,+09:00,Asia/Tokyo,45.2419,141.1864
984,RIW,RIW,US,Airport,Riverton,-07:00,America/Denver,43.0656,-108.46
985,RIX,RIX,LV,Airport,Riga,+02:00,Europe/Riga,56.9236,23.9711
986,RJK,RJK,HR,Airport,Rijeka,+01:00,Europe/Zagreb,45.2169,14.5703
987,RKD,RKD,US,Airport,Rockland,-05:00,America/New_York,44.0594,-69.0997
988,RKS,RKS,US,Airport,Rock Springs,-07:00,America/Denver,41.5947,-109.0656
989,RLG,RLG,DE,Airport,Rostock,+01:00,Europe/Berlin,53.9181,12.2783
990,RMF,RMF,EG,Airport,Marsa Alam,+02:00,Africa/Cairo,25.5572,34.5836
991,RMI,RMI,IT,Airport,Rimini,+01:00,Europe/Rome,44.0194,12.6094
992,RMQ,RMQ,TW,Airport,Taichung,+08:00,Asia/Taipei,24.265,120.6208
993,RNB,RNB,SE,Airport,Ronneby,+01:00,Europe/Stockholm,56.2667,15.265
994,RNO,RNO,US,Airport,Reno,-08:00,America/Los_Angeles,39.4992,-119.7681
995,RNS,RNS,FR,Airport,Rennes St Jacques,+01:00,Europe/Paris,48.0719,-1.7322
996,ROA,ROA,US,Airport,Roanoke,-05:00,America/New_York,37.3256,-79.9756
997,ROB,MLW,LR,Airport,Monrovia,+00:00,Africa/Monrovia,6.2339,-10.3622
998,ROC,ROC,US,Airport,Rochester  New York (US),-05:00,America/New_York,43.1189,-77.6725
999,ROP,ROP,MP,Airport,Rota,+10:00,Pacific/Saipan,14.1744,145.2425
1000,ROS,ROS,AR,Airport,Rosario,-03:00,America/Argentina/Buenos_Aires,-32.9036,-60.7844
1001,ROV,ROV,RU,Airport,Rostov,+03:00,Europe/Moscow,47.4936,39.9239
1002,RPR,RPR,IN,Airport,Raipur,+05:30,Asia/Kolkata,21.1803,81.7389
1003,RST,RST,US,Airport,Rochester Minnesota (US),-06:00,America/Chicago,43.9103,-92.4967
1004,RSU,RSU,KR,Airport,Yeosu/Suncheon,+09:00,Asia/Seoul,34.8422,127.6169
1005,RSW,FMY,US,Airport,Fort Myers Sw Florida,-05:00,America/New_York,26.5361,-81.7553
1006,RTB,RTB,HN,Airport,Roatan,-06:00,America/Tegucigalpa,16.3169,-86.5231
1007,RTM,RTM,NL,Airport,Rotterdam,+01:00,Europe/Amsterdam,51.9531,4.4308
1008,RUH,RUH,SA,Airport,Riyadh,+03:00,Asia/Riyadh,24.9578,46.6989
1009,RUN,RUN,RE,Airport,St Denis De La Reunion,+04:00,Indian/Reunion,-20.8872,55.5103
1010,RUT,RUT,US,Airport,Rutland Southern Vermont Regional,-05:00,America/New_York,43.5294,-72.9497
1011,RVK,RVK,NO,Airport,Rorvik Ryum,+01:00,Europe/Oslo,64.8342,11.1356
1012,RZE,RZE,PL,Airport,Rzeszow,+01:00,Europe/Warsaw,50.11,22.0189
1013,SAF,SAF,US,Airport,Santa Fe,-07:00,America/Denver,35.6167,-106.0833
1014,SAG,SAG,IN,Airport,Shirdi,+05:30,Asia/Kolkata,19.6889,74.3772
1015,SAH,SAH,YE,Airport,Sanaa,+03:00,Asia/Aden,15.4764,44.2197
1016,SAL,SAL,SV,Airport,San Salvador,-06:00,America/El_Salvador,13.4408,-89.0558
1017,SAN,SAN,US,Airport,San Diego,-08:00,America/Los_Angeles,32.7336,-117.1897
1018,SAP,SAP,HN,Airport,San Pedro Sula,-06:00,America/Tegucigalpa,15.4528,-87.9236
1019,SAT,SAT,US,Airport,San Antonio,-06:00,America/Chicago,29.5336,-98.4697
1020,SAV,SAV,US,Airport,Savannah/Hilton Head,-05:00,America/New_York,32.1275,-81.2022
1021,SAW,IST,TR,Airport,Istanbul Sabiha Gokcen,+03:00,Europe/Istanbul,40.8986,29.3092
1022,SBA,SBA,US,Airport,Santa Barbara,-08:00,America/Los_Angeles,34.4261,-119.8403
1023,SBN,SBN,US,Airport,South Bend,-05:00,America/New_York,41.7047,-86.3131
1024,SBP,CSL,US,Airport,San Luis Obispo,-08:00,America/Los_Angeles,35.2372,-120.6408
1025,SBY,SBY,US,Airport,Salisbury-Ocean City,-05:00,America/New_York,38.3406,-75.5103
1026,SBZ,SBZ,RO,Airport,Sibiu,+02:00,Europe/Bucharest,45.7856,24.0914
1027,SCC,SCC,US,Airport,Prudhoe Bay/Deadhorse,-09:00,America/Anchorage,70.1947,-148.4653
1028,SCE,SCE,US,Airport,State College,-05:00,America/New_York,40.8506,-77.8472
1029,SCL,SCL,CL,Airport,Santiago de Chile,-04:00,America/Santiago,-33.3931,-70.7858
1030,SCN,SCN,DE,Airport,Saarbrucken,+01:00,Europe/Berlin,49.2147,7.1106
1031,SCQ,SCQ,ES,Airport,Santiago De Compostela,+01:00,Europe/Madrid,42.8964,-8.4153
1032,SDF,SDF,US,Airport,Louisville,-05:00,America/New_York,38.1744,-85.7361
