FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1494,MUC,2023-04-22T11:50,BRE,2023-04-22T13:00,,LH,2192,319,167,2023-04-22,2023-04-24
1495,FRA,2023-04-22T08:15,MUC,2023-04-22T09:10,2,LH,96,319,36,2023-04-22,2023-04-26
1496,MUC,2023-04-22T10:50,BRI,2023-04-22T12:25,,LH,9468,E95,36,2023-04-22,2023-04-26
1497,MUC,2023-04-22T15:55,BRI,2023-04-22T17:30,,LH,9470,E95,1234567,2023-04-22,2023-04-29
1498,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,3567,2023-04-22,2023-04-28
1499,FRA,2023-04-22T13:15,MUC,2023-04-22T14:10,2,LH,106,320,3567,2023-04-22,2023-04-28
1500,MUC,2023-04-22T15:55,BRI,2023-04-22T17:30,,LH,9470,E95,3567,2023-04-22,2023-04-28
1501,MUC,2023-04-22T15:55,BRI,2023-04-22T17:30,,LH,9470,E95,356,2023-04-22,2023-04-28
1502,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,3567,2023-04-22,2023-04-28
1503,MUC,2023-04-23T15:55,BRI,2023-04-23T17:30,,LH,9470,E95,6,2023-04-22,2023-04-22
1504,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,6,2023-04-22,2023-08-12
1505,FRA,2023-04-22T16:20,BRS,2023-04-22T17:00,,LH,972,E90,6,2023-04-22,2023-08-12
1506,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,6,2023-04-22,2023-08-12
1507,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,6,2023-04-22,2023-08-12
1508,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,6,2023-04-22,2023-05-13
1509,FRA,2023-04-22T09:00,LHR,2023-04-22T09:40,2,LH,902,32N,6,2023-04-22,2023-05-13
1510,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,2356,2023-04-22,2023-04-29
1511,FRA,2023-04-22T09:00,BRU,2023-04-22T10:10,,LH,5588,319,2356,2023-04-22,2023-04-29
1512,FRA,2023-04-22T09:40,BRU,2023-04-22T10:35,,LH,1008,32Q,6,2023-04-22,2023-04-22
1513,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,14567,2023-04-22,2023-04-29
